,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
19,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-05,Parts per billion,48.45,61.0,22,58,Parts per million,0.006667,0.012,9,10,Parts per billion,8.7,14.0,8,,Parts per million,2.7,3.7,2,42.0
20,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-06,Parts per billion,39.95,73.0,8,71,Parts per million,0.01175,0.025,10,21,Parts per billion,6.761905,17.0,7,24.0,Parts per million,1.973913,6.3,7,
21,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-06,Parts per billion,39.95,73.0,8,71,Parts per million,0.01175,0.025,10,21,Parts per billion,6.761905,17.0,7,24.0,Parts per million,2.308333,3.6,9,41.0
22,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-06,Parts per billion,39.95,73.0,8,71,Parts per million,0.01175,0.025,10,21,Parts per billion,7.066667,14.6,8,,Parts per million,1.973913,6.3,7,
23,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-06,Parts per billion,39.95,73.0,8,71,Parts per million,0.01175,0.025,10,21,Parts per billion,7.066667,14.6,8,,Parts per million,2.308333,3.6,9,41.0
24,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-07,Parts per billion,29.625,43.0,9,41,Parts per million,0.011625,0.024,10,20,Parts per billion,8.666667,21.0,7,30.0,Parts per million,2.3625,6.4,8,
25,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-07,Parts per billion,29.625,43.0,9,41,Parts per million,0.011625,0.024,10,20,Parts per billion,8.666667,21.0,7,30.0,Parts per million,1.829167,3.5,23,40.0
26,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-07,Parts per billion,29.625,43.0,9,41,Parts per million,0.011625,0.024,10,20,Parts per billion,8.6375,17.3,8,,Parts per million,2.3625,6.4,8,
27,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-07,Parts per billion,29.625,43.0,9,41,Parts per million,0.011625,0.024,10,20,Parts per billion,8.6375,17.3,8,,Parts per million,1.829167,3.5,23,40.0
28,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-08,Parts per billion,29.666667,41.0,0,39,Parts per million,0.00975,0.02,10,17,Parts per billion,8.25,18.0,0,26.0,Parts per million,2.541667,6.6,0,
29,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-08,Parts per billion,29.666667,41.0,0,39,Parts per million,0.00975,0.02,10,17,Parts per billion,8.25,18.0,0,26.0,Parts per million,2.7875,5.1,2,57.0
30,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-08,Parts per billion,29.666667,41.0,0,39,Parts per million,0.00975,0.02,10,17,Parts per billion,8.2125,15.3,2,,Parts per million,2.541667,6.6,0,
31,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-08,Parts per billion,29.666667,41.0,0,39,Parts per million,0.00975,0.02,10,17,Parts per billion,8.2125,15.3,2,,Parts per million,2.7875,5.1,2,57.0
32,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-09,Parts per billion,25.083333,37.0,20,35,Parts per million,0.010792,0.022,10,19,Parts per billion,6.5,13.0,19,19.0,Parts per million,1.729167,3.9,20,
33,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-09,Parts per billion,25.083333,37.0,20,35,Parts per million,0.010792,0.022,10,19,Parts per billion,6.5,13.0,19,19.0,Parts per million,1.675,2.8,2,32.0
34,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-09,Parts per billion,25.083333,37.0,20,35,Parts per million,0.010792,0.022,10,19,Parts per billion,6.475,12.0,23,,Parts per million,1.729167,3.9,20,
35,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-09,Parts per billion,25.083333,37.0,20,35,Parts per million,0.010792,0.022,10,19,Parts per billion,6.475,12.0,23,,Parts per million,1.675,2.8,2,32.0
36,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-10,Parts per billion,37.666667,70.0,20,68,Parts per million,0.008458,0.015,9,13,Parts per billion,9.958333,21.0,20,30.0,Parts per million,2.341667,5.9,20,
37,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-10,Parts per billion,37.666667,70.0,20,68,Parts per million,0.008458,0.015,9,13,Parts per billion,9.958333,21.0,20,30.0,Parts per million,2.179167,3.7,23,42.0
38,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-10,Parts per billion,37.666667,70.0,20,68,Parts per million,0.008458,0.015,9,13,Parts per billion,9.925,18.3,23,,Parts per million,2.341667,5.9,20,
39,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-10,Parts per billion,37.666667,70.0,20,68,Parts per million,0.008458,0.015,9,13,Parts per billion,9.925,18.3,23,,Parts per million,2.179167,3.7,23,42.0
40,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-11,Parts per billion,50.5,81.0,22,80,Parts per million,0.008417,0.017,10,14,Parts per billion,11.625,24.0,22,34.0,Parts per million,2.604167,6.9,22,
41,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-11,Parts per billion,50.5,81.0,22,80,Parts per million,0.008417,0.017,10,14,Parts per billion,11.625,24.0,22,34.0,Parts per million,2.533333,4.5,1,51.0
42,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-11,Parts per billion,50.5,81.0,22,80,Parts per million,0.008417,0.017,10,14,Parts per billion,11.6,20.3,23,,Parts per million,2.604167,6.9,22,
43,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-11,Parts per billion,50.5,81.0,22,80,Parts per million,0.008417,0.017,10,14,Parts per billion,11.6,20.3,23,,Parts per million,2.533333,4.5,1,51.0
44,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-12,Parts per billion,49.125,81.0,21,80,Parts per million,0.008208,0.014,9,12,Parts per billion,10.916667,26.0,21,37.0,Parts per million,2.295833,6.3,21,
45,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-12,Parts per billion,49.125,81.0,21,80,Parts per million,0.008208,0.014,9,12,Parts per billion,10.916667,26.0,21,37.0,Parts per million,2.316667,4.2,0,48.0
46,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-12,Parts per billion,49.125,81.0,21,80,Parts per million,0.008208,0.014,9,12,Parts per billion,10.875,22.6,23,,Parts per million,2.295833,6.3,21,
47,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-12,Parts per billion,49.125,81.0,21,80,Parts per million,0.008208,0.014,9,12,Parts per billion,10.875,22.6,23,,Parts per million,2.316667,4.2,0,48.0
48,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-13,Parts per billion,73.285714,117.0,22,104,Parts per million,0.006167,0.01,9,8,Parts per billion,10.952381,21.0,22,30.0,Parts per million,3.136364,7.0,23,
49,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-13,Parts per billion,73.285714,117.0,22,104,Parts per million,0.006167,0.01,9,8,Parts per billion,10.952381,21.0,22,30.0,Parts per million,2.958333,4.6,23,52.0
50,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-13,Parts per billion,73.285714,117.0,22,104,Parts per million,0.006167,0.01,9,8,Parts per billion,11.766667,20.6,23,,Parts per million,3.136364,7.0,23,
51,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-13,Parts per billion,73.285714,117.0,22,104,Parts per million,0.006167,0.01,9,8,Parts per billion,11.766667,20.6,23,,Parts per million,2.958333,4.6,23,52.0
52,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-14,Parts per billion,66.541667,124.0,10,105,Parts per million,0.008708,0.018,8,15,Parts per billion,11.625,29.0,8,41.0,Parts per million,3.0125,8.1,8,
53,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-14,Parts per billion,66.541667,124.0,10,105,Parts per million,0.008708,0.018,8,15,Parts per billion,11.625,29.0,8,41.0,Parts per million,3.575,5.3,1,59.0
54,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-14,Parts per billion,66.541667,124.0,10,105,Parts per million,0.008708,0.018,8,15,Parts per billion,11.5875,25.6,8,,Parts per million,3.0125,8.1,8,
55,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-14,Parts per billion,66.541667,124.0,10,105,Parts per million,0.008708,0.018,8,15,Parts per billion,11.5875,25.6,8,,Parts per million,3.575,5.3,1,59.0
56,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-15,Parts per billion,53.166667,87.0,22,86,Parts per million,0.010625,0.022,9,19,Parts per billion,9.583333,22.0,20,31.0,Parts per million,2.754167,7.2,20,
57,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-15,Parts per billion,53.166667,87.0,22,86,Parts per million,0.010625,0.022,9,19,Parts per billion,9.583333,22.0,20,31.0,Parts per million,2.175,4.5,23,51.0
58,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-15,Parts per billion,53.166667,87.0,22,86,Parts per million,0.010625,0.022,9,19,Parts per billion,9.55,18.3,23,,Parts per million,2.754167,7.2,20,
